id,Cmax,pos,Ymax,pos,Smax,pos,Smean,D,?,Dmaxcut,Networks-used
g_13758,0.125,45,0.136,12,0.231,1,0.13,0.133,N,0.45,SignalP-noTM
g_13759,0.284,31,0.254,18,0.47,10,0.36,0.296,N,0.5,SignalP-TM
g_13760,0.148,23,0.179,23,0.311,2,0.217,0.2,N,0.45,SignalP-noTM
g_13761,0.111,56,0.114,12,0.164,10,0.134,0.122,N,0.5,SignalP-TM
g_13762,0.136,54,0.165,54,0.326,48,0.131,0.151,N,0.5,SignalP-TM
g_13763,0.363,29,0.202,29,0.167,28,0.114,0.154,N,0.45,SignalP-noTM
g_13764,0.115,55,0.109,43,0.119,22,0.102,0.106,N,0.45,SignalP-noTM
g_13765,0.107,31,0.114,37,0.149,18,0.115,0.115,N,0.45,SignalP-noTM
g_13766,0.124,22,0.175,12,0.348,1,0.235,0.208,N,0.45,SignalP-noTM
g_13767,0.57,16,0.727,16,0.974,12,0.945,0.845,Y,0.45,SignalP-noTM
g_13768,0.111,66,0.127,11,0.185,8,0.144,0.136,N,0.45,SignalP-noTM
g_13769,0.119,28,0.114,13,0.137,1,0.115,0.115,N,0.45,SignalP-noTM
g_13770,0.17,20,0.127,20,0.134,32,0.096,0.11,N,0.45,SignalP-noTM
g_13771,0.111,65,0.115,12,0.139,2,0.119,0.117,N,0.45,SignalP-noTM
g_13772,0.122,50,0.11,50,0.117,24,0.099,0.104,N,0.45,SignalP-noTM
g_13773,0.235,41,0.2,22,0.38,8,0.31,0.244,N,0.5,SignalP-TM
g_13774,0.223,26,0.221,26,0.377,17,0.225,0.223,N,0.45,SignalP-noTM
g_13775,0.188,22,0.155,22,0.236,21,0.126,0.139,N,0.45,SignalP-noTM
g_13776,0.11,47,0.107,67,0.111,64,0.097,0.102,N,0.45,SignalP-noTM
g_13777,0.113,52,0.121,12,0.172,1,0.111,0.116,N,0.45,SignalP-noTM
g_13778,0.409,19,0.49,19,0.751,18,0.567,0.531,Y,0.45,SignalP-noTM
g_13779,0.127,67,0.16,13,0.415,2,0.245,0.206,N,0.45,SignalP-noTM
g_13780,0.137,17,0.133,17,0.145,1,0.124,0.128,N,0.45,SignalP-noTM
g_13781,0.159,29,0.134,29,0.182,2,0.121,0.127,N,0.45,SignalP-noTM
g_13782,0.232,40,0.225,17,0.491,1,0.224,0.225,N,0.45,SignalP-noTM
g_13783,0.114,22,0.119,22,0.158,10,0.125,0.122,N,0.45,SignalP-noTM
g_13784,0.11,50,0.109,45,0.119,32,0.101,0.105,N,0.45,SignalP-noTM
g_13785,0.118,20,0.114,20,0.129,5,0.11,0.112,N,0.45,SignalP-noTM
g_13786,0.128,24,0.116,24,0.133,11,0.106,0.111,N,0.45,SignalP-noTM
g_13787,0.11,58,0.107,39,0.121,27,0.104,0.106,N,0.45,SignalP-noTM
g_13788,0.109,66,0.105,38,0.112,22,0.095,0.1,N,0.45,SignalP-noTM
g_13789,0.115,23,0.154,20,0.301,17,0.206,0.182,N,0.45,SignalP-noTM
g_13790,0.13,19,0.133,19,0.225,6,0.133,0.133,N,0.45,SignalP-noTM
g_13791,0.147,33,0.131,33,0.146,30,0.117,0.124,N,0.45,SignalP-noTM
g_13792,0.278,32,0.27,32,0.53,1,0.276,0.272,N,0.5,SignalP-TM
g_13793,0.107,70,0.111,55,0.155,37,0.11,0.111,N,0.45,SignalP-noTM
g_13794,0.137,44,0.128,44,0.165,24,0.118,0.123,N,0.45,SignalP-noTM
g_13795,0.122,28,0.132,11,0.234,2,0.17,0.152,N,0.45,SignalP-noTM
g_13796,0.111,29,0.12,11,0.146,20,0.137,0.129,N,0.45,SignalP-noTM
g_13797,0.112,37,0.116,12,0.172,12,0.115,0.116,N,0.45,SignalP-noTM
g_13798,0.109,47,0.135,13,0.206,1,0.148,0.142,N,0.45,SignalP-noTM
g_13799,0.112,67,0.109,56,0.121,39,0.1,0.105,N,0.45,SignalP-noTM
g_13800,0.14,50,0.116,50,0.108,33,0.096,0.105,N,0.45,SignalP-noTM
g_13801,0.116,23,0.124,11,0.177,1,0.124,0.124,N,0.45,SignalP-noTM
g_13802,0.142,16,0.174,16,0.312,1,0.169,0.171,N,0.45,SignalP-noTM
g_13803,0.25,39,0.195,12,0.441,4,0.362,0.262,N,0.5,SignalP-TM
g_13804,0.113,21,0.111,21,0.133,4,0.108,0.109,N,0.45,SignalP-noTM
g_13805,0.144,22,0.177,11,0.409,1,0.209,0.194,N,0.45,SignalP-noTM
g_13806,0.107,28,0.104,39,0.114,67,0.096,0.1,N,0.45,SignalP-noTM
g_13807,0.11,15,0.113,11,0.135,1,0.103,0.107,N,0.45,SignalP-noTM
g_13808,0.117,59,0.109,12,0.128,6,0.105,0.107,N,0.45,SignalP-noTM
g_13809,0.449,41,0.485,41,0.819,38,0.387,0.432,N,0.45,SignalP-noTM
g_13810,0.202,40,0.214,11,0.523,1,0.339,0.281,N,0.45,SignalP-noTM
g_13811,0.284,19,0.17,19,0.148,5,0.104,0.134,N,0.45,SignalP-noTM
g_13812,0.161,44,0.142,25,0.237,4,0.169,0.157,N,0.45,SignalP-noTM
g_13813,0.108,65,0.112,11,0.141,48,0.111,0.111,N,0.45,SignalP-noTM
g_13814,0.108,61,0.105,30,0.115,15,0.102,0.103,N,0.45,SignalP-noTM
g_13815,0.131,18,0.144,18,0.183,9,0.158,0.152,N,0.45,SignalP-noTM
g_13816,0.144,23,0.115,23,0.129,44,0.091,0.102,N,0.45,SignalP-noTM
g_13817,0.137,54,0.127,54,0.147,25,0.111,0.118,N,0.45,SignalP-noTM
g_13818,0.111,50,0.119,28,0.182,10,0.13,0.125,N,0.45,SignalP-noTM
g_13819,0.11,49,0.117,13,0.149,1,0.119,0.118,N,0.45,SignalP-noTM
g_13820,0.111,38,0.108,54,0.123,51,0.101,0.104,N,0.45,SignalP-noTM
g_13821,0.329,44,0.249,44,0.244,41,0.14,0.205,N,0.5,SignalP-TM
g_13822,0.157,35,0.184,35,0.399,34,0.184,0.184,N,0.5,SignalP-TM
g_13823,0.13,56,0.116,56,0.123,2,0.101,0.108,N,0.45,SignalP-noTM
g_13824,0.183,27,0.17,27,0.191,24,0.128,0.153,N,0.5,SignalP-TM
g_13825,0.181,36,0.133,36,0.133,35,0.096,0.113,N,0.45,SignalP-noTM
g_13826,0.107,28,0.11,28,0.163,12,0.109,0.109,N,0.45,SignalP-noTM
g_13827,0.137,45,0.21,45,0.445,38,0.247,0.225,N,0.5,SignalP-TM
g_13828,0.123,17,0.12,17,0.142,1,0.107,0.113,N,0.45,SignalP-noTM
g_13829,0.169,34,0.281,19,0.752,17,0.692,0.503,Y,0.45,SignalP-noTM
g_13830,0.16,29,0.135,29,0.207,4,0.123,0.129,N,0.45,SignalP-noTM
g_13831,0.117,65,0.112,65,0.136,50,0.102,0.107,N,0.45,SignalP-noTM
g_13832,0.111,67,0.121,11,0.158,2,0.127,0.124,N,0.45,SignalP-noTM
g_13833,0.131,53,0.118,53,0.157,46,0.099,0.108,N,0.45,SignalP-noTM
g_13834,0.248,26,0.452,24,0.938,17,0.831,0.657,Y,0.45,SignalP-noTM
g_13835,0.125,28,0.125,28,0.145,18,0.125,0.125,N,0.45,SignalP-noTM
g_13836,0.112,15,0.11,30,0.135,12,0.109,0.109,N,0.45,SignalP-noTM
g_13837,0.108,14,0.108,31,0.121,21,0.105,0.106,N,0.45,SignalP-noTM
g_13838,0.107,45,0.107,45,0.165,37,0.105,0.106,N,0.45,SignalP-noTM
g_13839,0.108,52,0.102,36,0.115,2,0.097,0.099,N,0.45,SignalP-noTM
g_13840,0.128,56,0.151,11,0.253,4,0.199,0.177,N,0.45,SignalP-noTM
g_13841,0.294,37,0.459,37,0.888,28,0.551,0.509,Y,0.45,SignalP-noTM
g_13842,0.126,51,0.115,51,0.143,45,0.107,0.111,N,0.45,SignalP-noTM
g_13843,0.121,40,0.112,22,0.13,13,0.108,0.11,N,0.45,SignalP-noTM
g_13844,0.189,25,0.152,25,0.152,19,0.123,0.136,N,0.45,SignalP-noTM
g_13845,0.111,26,0.106,43,0.121,22,0.096,0.1,N,0.45,SignalP-noTM
g_13846,0.123,25,0.113,25,0.123,15,0.105,0.109,N,0.45,SignalP-noTM
g_13847,0.123,31,0.227,15,0.628,8,0.493,0.333,N,0.5,SignalP-TM
g_13848,0.111,9,0.111,14,0.18,3,0.117,0.114,N,0.45,SignalP-noTM
g_13849,0.108,43,0.11,43,0.126,32,0.101,0.105,N,0.45,SignalP-noTM
g_13850,0.11,29,0.104,41,0.116,39,0.099,0.101,N,0.45,SignalP-noTM
g_13851,0.116,41,0.106,41,0.127,13,0.098,0.102,N,0.45,SignalP-noTM
g_13852,0.195,28,0.17,28,0.219,11,0.148,0.158,N,0.45,SignalP-noTM
g_13853,0.246,41,0.277,41,0.401,33,0.224,0.255,N,0.5,SignalP-TM
g_13854,0.155,30,0.169,30,0.321,2,0.198,0.184,N,0.45,SignalP-noTM
g_13855,0.11,32,0.106,32,0.116,13,0.098,0.102,N,0.45,SignalP-noTM
g_13856,0.6,20,0.737,20,0.954,4,0.901,0.826,Y,0.45,SignalP-noTM
g_13857,0.198,31,0.159,31,0.201,27,0.124,0.14,N,0.45,SignalP-noTM
g_13858,0.119,33,0.11,55,0.128,37,0.098,0.103,N,0.45,SignalP-noTM
g_13859,0.108,46,0.103,11,0.115,2,0.094,0.098,N,0.45,SignalP-noTM
g_13860,0.109,64,0.11,54,0.127,48,0.101,0.105,N,0.45,SignalP-noTM
g_13861,0.25,17,0.161,17,0.175,50,0.104,0.13,N,0.45,SignalP-noTM
g_13862,0.148,18,0.238,18,0.524,4,0.359,0.303,N,0.45,SignalP-noTM
g_13863,0.116,58,0.124,26,0.217,12,0.124,0.124,N,0.5,SignalP-TM
g_13864,0.111,47,0.11,12,0.126,1,0.106,0.108,N,0.45,SignalP-noTM
g_13865,0.121,35,0.109,35,0.111,67,0.097,0.102,N,0.45,SignalP-noTM
g_13866,0.221,19,0.151,19,0.132,18,0.101,0.124,N,0.45,SignalP-noTM
g_13867,0.574,19,0.287,19,0.223,18,0.146,0.211,N,0.45,SignalP-noTM
g_13868,0.117,44,0.147,12,0.237,1,0.178,0.164,N,0.45,SignalP-noTM
g_13869,0.122,21,0.137,21,0.205,1,0.149,0.144,N,0.45,SignalP-noTM
g_13870,0.115,27,0.108,62,0.129,43,0.1,0.103,N,0.45,SignalP-noTM
g_13871,0.192,26,0.174,26,0.255,24,0.155,0.164,N,0.45,SignalP-noTM
g_13872,0.174,30,0.146,30,0.181,4,0.132,0.139,N,0.45,SignalP-noTM
g_13873,0.162,19,0.144,19,0.178,13,0.13,0.137,N,0.45,SignalP-noTM
g_13874,0.11,18,0.124,29,0.17,8,0.14,0.132,N,0.45,SignalP-noTM
g_13875,0.109,42,0.116,11,0.209,2,0.129,0.123,N,0.45,SignalP-noTM
g_13876,0.895,21,0.879,21,0.908,1,0.858,0.868,Y,0.45,SignalP-noTM
g_13877,0.112,28,0.116,28,0.151,11,0.119,0.118,N,0.45,SignalP-noTM
g_13878,0.136,37,0.131,12,0.232,3,0.166,0.15,N,0.45,SignalP-noTM
g_13879,0.127,25,0.225,11,0.58,4,0.477,0.326,N,0.5,SignalP-TM
g_13880,0.114,37,0.121,32,0.188,11,0.127,0.125,N,0.45,SignalP-noTM
g_13881,0.124,64,0.116,64,0.189,33,0.11,0.113,N,0.45,SignalP-noTM
g_13882,0.108,20,0.12,11,0.161,7,0.134,0.128,N,0.45,SignalP-noTM
g_13883,0.287,56,0.184,56,0.235,24,0.115,0.147,N,0.45,SignalP-noTM
g_13884,0.118,34,0.129,15,0.223,7,0.16,0.146,N,0.45,SignalP-noTM
g_13885,0.111,67,0.109,27,0.13,12,0.108,0.109,N,0.45,SignalP-noTM
g_13886,0.113,29,0.128,12,0.185,1,0.139,0.134,N,0.45,SignalP-noTM
g_13887,0.121,39,0.112,39,0.125,53,0.103,0.107,N,0.45,SignalP-noTM
g_13888,0.125,26,0.115,26,0.126,42,0.106,0.111,N,0.45,SignalP-noTM
g_13889,0.129,57,0.149,15,0.206,13,0.172,0.161,N,0.45,SignalP-noTM
g_13890,0.11,56,0.107,43,0.12,29,0.099,0.103,N,0.45,SignalP-noTM
g_13891,0.112,17,0.136,17,0.242,10,0.173,0.156,N,0.45,SignalP-noTM
g_13892,0.112,40,0.117,11,0.146,7,0.129,0.123,N,0.45,SignalP-noTM
g_13893,0.173,24,0.234,24,0.426,20,0.314,0.277,N,0.45,SignalP-noTM
g_13894,0.157,42,0.13,42,0.163,39,0.102,0.115,N,0.45,SignalP-noTM
g_13895,0.159,23,0.16,23,0.217,8,0.162,0.161,N,0.45,SignalP-noTM
g_13896,0.173,53,0.175,53,0.322,44,0.139,0.156,N,0.45,SignalP-noTM
g_13897,0.121,18,0.105,46,0.108,27,0.093,0.098,N,0.45,SignalP-noTM
g_13898,0.115,25,0.113,11,0.141,1,0.105,0.109,N,0.45,SignalP-noTM
g_13899,0.117,66,0.107,66,0.12,5,0.097,0.101,N,0.45,SignalP-noTM
g_13900,0.109,70,0.106,70,0.112,30,0.097,0.101,N,0.45,SignalP-noTM
g_13901,0.119,31,0.198,22,0.692,8,0.37,0.291,N,0.45,SignalP-noTM
g_13902,0.129,21,0.145,21,0.255,18,0.159,0.152,N,0.45,SignalP-noTM
g_13903,0.403,20,0.607,20,0.951,10,0.912,0.772,Y,0.45,SignalP-noTM
g_13904,0.346,19,0.407,19,0.601,13,0.479,0.436,N,0.5,SignalP-TM
g_13905,0.149,24,0.136,24,0.166,14,0.123,0.129,N,0.45,SignalP-noTM
g_13906,0.126,18,0.123,18,0.153,3,0.112,0.117,N,0.45,SignalP-noTM
g_13907,0.112,20,0.103,42,0.108,51,0.094,0.098,N,0.45,SignalP-noTM
g_13908,0.111,51,0.106,69,0.13,50,0.098,0.102,N,0.45,SignalP-noTM
g_13909,0.119,53,0.109,15,0.124,52,0.094,0.101,N,0.45,SignalP-noTM
g_13910,0.106,69,0.103,69,0.113,42,0.098,0.101,N,0.45,SignalP-noTM
g_13911,0.145,29,0.125,16,0.136,14,0.113,0.119,N,0.45,SignalP-noTM
g_13912,0.209,29,0.196,21,0.263,19,0.197,0.196,N,0.45,SignalP-noTM
g_13913,0.112,45,0.106,65,0.124,43,0.101,0.103,N,0.45,SignalP-noTM
g_13914,0.106,34,0.109,38,0.121,25,0.106,0.107,N,0.45,SignalP-noTM
g_13915,0.107,33,0.112,54,0.127,51,0.108,0.11,N,0.45,SignalP-noTM
g_13916,0.15,21,0.138,21,0.183,1,0.122,0.13,N,0.45,SignalP-noTM
g_13917,0.164,64,0.134,64,0.179,39,0.114,0.123,N,0.45,SignalP-noTM
g_13918,0.125,36,0.115,21,0.143,35,0.106,0.11,N,0.45,SignalP-noTM
g_13919,0.23,19,0.193,19,0.324,16,0.172,0.184,N,0.5,SignalP-TM
g_13920,0.129,43,0.119,43,0.19,25,0.114,0.116,N,0.45,SignalP-noTM
g_13921,0.114,22,0.112,12,0.139,1,0.105,0.108,N,0.45,SignalP-noTM
g_13922,0.142,24,0.118,24,0.112,38,0.098,0.107,N,0.45,SignalP-noTM
g_13923,0.201,24,0.153,24,0.203,1,0.12,0.135,N,0.45,SignalP-noTM
g_13924,0.401,32,0.155,46,0.221,43,0.07,0.121,N,0.5,SignalP-TM
g_13925,0.113,54,0.237,11,0.694,2,0.386,0.318,N,0.45,SignalP-noTM
g_13926,0.109,41,0.105,70,0.112,41,0.098,0.101,N,0.45,SignalP-noTM
g_13927,0.112,59,0.112,13,0.167,3,0.111,0.112,N,0.45,SignalP-noTM
g_13928,0.714,26,0.808,26,0.97,7,0.914,0.866,Y,0.45,SignalP-noTM
g_13929,0.112,47,0.112,13,0.129,1,0.112,0.112,N,0.45,SignalP-noTM
g_13930,0.157,30,0.163,11,0.389,4,0.247,0.209,N,0.45,SignalP-noTM
g_13931,0.106,40,0.113,11,0.128,2,0.121,0.117,N,0.45,SignalP-noTM
g_13932,0.11,46,0.108,46,0.129,33,0.104,0.106,N,0.45,SignalP-noTM
g_13933,0.107,58,0.113,11,0.137,3,0.122,0.118,N,0.45,SignalP-noTM
g_13934,0.109,33,0.157,11,0.265,1,0.191,0.176,N,0.45,SignalP-noTM
g_13935,0.118,34,0.111,34,0.131,5,0.106,0.108,N,0.45,SignalP-noTM
g_13936,0.111,58,0.105,65,0.117,36,0.098,0.101,N,0.45,SignalP-noTM
g_13937,0.121,31,0.112,31,0.122,9,0.105,0.108,N,0.45,SignalP-noTM
g_13938,0.109,34,0.104,40,0.118,28,0.096,0.1,N,0.45,SignalP-noTM
g_13939,0.126,44,0.132,65,0.222,56,0.105,0.122,N,0.5,SignalP-TM
g_13940,0.109,61,0.109,29,0.139,19,0.108,0.108,N,0.45,SignalP-noTM
g_13941,0.653,24,0.735,24,0.915,19,0.823,0.783,Y,0.45,SignalP-noTM
g_13942,0.136,26,0.131,17,0.174,12,0.13,0.13,N,0.45,SignalP-noTM
g_13943,0.118,32,0.116,32,0.168,13,0.115,0.115,N,0.45,SignalP-noTM
g_13944,0.138,49,0.133,49,0.182,40,0.116,0.124,N,0.45,SignalP-noTM
g_13945,0.136,40,0.204,12,0.49,1,0.323,0.268,N,0.45,SignalP-noTM
g_13946,0.145,27,0.147,27,0.204,10,0.143,0.145,N,0.45,SignalP-noTM
g_13947,0.129,39,0.118,30,0.148,2,0.116,0.117,N,0.45,SignalP-noTM
g_13948,0.11,41,0.107,32,0.128,13,0.101,0.104,N,0.45,SignalP-noTM
g_13949,0.167,51,0.145,51,0.216,50,0.121,0.132,N,0.45,SignalP-noTM
g_13950,0.64,23,0.753,23,0.957,4,0.886,0.825,Y,0.45,SignalP-noTM
g_13951,0.111,40,0.113,11,0.145,28,0.109,0.111,N,0.45,SignalP-noTM
g_13952,0.115,40,0.123,36,0.172,31,0.12,0.122,N,0.5,SignalP-TM
g_13953,0.119,27,0.117,27,0.156,12,0.115,0.116,N,0.45,SignalP-noTM
g_13954,0.111,32,0.104,32,0.119,6,0.1,0.102,N,0.45,SignalP-noTM
g_13955,0.124,28,0.122,16,0.154,5,0.127,0.125,N,0.45,SignalP-noTM
g_13956,0.136,27,0.122,27,0.128,5,0.108,0.114,N,0.45,SignalP-noTM
g_13957,0.18,40,0.193,47,0.273,37,0.143,0.173,N,0.5,SignalP-TM
g_13958,0.201,51,0.147,51,0.176,50,0.111,0.128,N,0.45,SignalP-noTM
g_13959,0.359,22,0.37,22,0.54,4,0.401,0.383,N,0.5,SignalP-TM
g_13960,0.114,41,0.114,41,0.17,40,0.111,0.113,N,0.45,SignalP-noTM
g_13961,0.109,36,0.11,56,0.149,43,0.106,0.108,N,0.45,SignalP-noTM
g_13962,0.11,35,0.106,49,0.121,42,0.099,0.102,N,0.45,SignalP-noTM
g_13963,0.191,34,0.207,40,0.4,33,0.21,0.208,N,0.5,SignalP-TM
g_13964,0.886,31,0.915,31,0.974,24,0.927,0.921,Y,0.45,SignalP-noTM
g_13965,0.125,46,0.123,46,0.147,40,0.108,0.115,N,0.45,SignalP-noTM
g_13966,0.168,36,0.129,36,0.123,4,0.102,0.114,N,0.45,SignalP-noTM
g_13967,0.114,28,0.103,28,0.111,33,0.094,0.098,N,0.45,SignalP-noTM
g_13968,0.106,34,0.107,34,0.125,66,0.093,0.102,N,0.5,SignalP-TM
g_13969,0.114,37,0.12,13,0.19,9,0.14,0.131,N,0.45,SignalP-noTM
g_13970,0.155,42,0.143,42,0.222,37,0.121,0.131,N,0.45,SignalP-noTM
g_13971,0.157,18,0.166,11,0.381,30,0.247,0.198,N,0.5,SignalP-TM
g_13972,0.385,35,0.563,35,0.959,19,0.829,0.707,Y,0.45,SignalP-noTM
g_13973,0.112,40,0.105,53,0.114,5,0.096,0.1,N,0.45,SignalP-noTM
g_13974,0.136,18,0.232,18,0.618,17,0.398,0.322,N,0.45,SignalP-noTM
g_13975,0.12,33,0.103,33,0.111,70,0.093,0.097,N,0.45,SignalP-noTM
g_13976,0.108,44,0.117,67,0.16,65,0.11,0.114,N,0.5,SignalP-TM
g_13977,0.145,58,0.128,58,0.154,37,0.108,0.117,N,0.45,SignalP-noTM
g_13978,0.236,24,0.277,24,0.504,17,0.326,0.303,N,0.45,SignalP-noTM
g_13979,0.112,16,0.107,16,0.142,15,0.101,0.104,N,0.45,SignalP-noTM
g_13980,0.107,31,0.108,12,0.131,2,0.099,0.103,N,0.45,SignalP-noTM
g_13981,0.11,68,0.105,41,0.114,19,0.097,0.101,N,0.45,SignalP-noTM
g_13982,0.111,38,0.103,68,0.107,61,0.094,0.098,N,0.45,SignalP-noTM
g_13983,0.109,19,0.109,70,0.142,58,0.096,0.104,N,0.5,SignalP-TM
g_13984,0.21,49,0.185,49,0.298,47,0.131,0.156,N,0.45,SignalP-noTM
g_13985,0.106,49,0.118,11,0.17,2,0.127,0.122,N,0.5,SignalP-TM
g_13986,0.114,12,0.109,41,0.122,32,0.1,0.105,N,0.45,SignalP-noTM
g_13987,0.105,22,0.141,11,0.234,1,0.15,0.146,N,0.45,SignalP-noTM
g_13988,0.111,16,0.108,16,0.121,1,0.097,0.102,N,0.45,SignalP-noTM
g_13989,0.111,63,0.108,46,0.121,36,0.101,0.104,N,0.45,SignalP-noTM
g_13990,0.163,32,0.128,32,0.129,36,0.101,0.114,N,0.45,SignalP-noTM
g_13991,0.13,29,0.136,29,0.235,6,0.146,0.141,N,0.45,SignalP-noTM
g_13992,0.118,17,0.119,17,0.153,14,0.119,0.119,N,0.45,SignalP-noTM
g_13993,0.125,24,0.112,24,0.123,55,0.101,0.106,N,0.45,SignalP-noTM
g_13994,0.156,19,0.22,19,0.612,18,0.32,0.274,N,0.45,SignalP-noTM
g_13995,0.144,48,0.118,48,0.146,8,0.1,0.108,N,0.45,SignalP-noTM
g_13996,0.198,43,0.148,43,0.179,4,0.117,0.132,N,0.45,SignalP-noTM
g_13997,0.132,34,0.115,34,0.123,39,0.104,0.109,N,0.45,SignalP-noTM
g_13998,0.109,66,0.109,54,0.12,26,0.1,0.104,N,0.45,SignalP-noTM
g_13999,0.139,24,0.12,24,0.151,29,0.104,0.111,N,0.45,SignalP-noTM
g_14000,0.199,20,0.207,20,0.41,6,0.237,0.219,N,0.5,SignalP-TM
g_14001,0.111,46,0.108,46,0.117,58,0.099,0.103,N,0.45,SignalP-noTM
g_14002,0.113,48,0.194,11,0.468,1,0.227,0.212,N,0.45,SignalP-noTM
g_14003,0.124,25,0.124,11,0.163,1,0.119,0.121,N,0.45,SignalP-noTM
g_14004,0.257,21,0.311,21,0.52,1,0.363,0.339,N,0.45,SignalP-noTM
g_14005,0.208,25,0.194,25,0.263,6,0.179,0.186,N,0.45,SignalP-noTM
g_14006,0.216,30,0.174,30,0.274,7,0.166,0.17,N,0.45,SignalP-noTM
g_14007,0.109,57,0.108,63,0.124,51,0.101,0.104,N,0.45,SignalP-noTM
g_14008,0.266,29,0.179,29,0.214,3,0.134,0.154,N,0.45,SignalP-noTM
g_14009,0.113,53,0.106,69,0.118,55,0.096,0.101,N,0.45,SignalP-noTM
g_14010,0.162,16,0.142,16,0.231,50,0.123,0.132,N,0.45,SignalP-noTM
g_14011,0.117,33,0.164,11,0.32,1,0.189,0.177,N,0.45,SignalP-noTM
g_14012,0.257,23,0.482,23,0.968,14,0.901,0.708,Y,0.45,SignalP-noTM
g_14013,0.107,37,0.105,37,0.112,22,0.097,0.1,N,0.45,SignalP-noTM
g_14014,0.414,26,0.348,26,0.83,1,0.402,0.37,N,0.5,SignalP-TM
g_14015,0.112,38,0.105,38,0.114,37,0.098,0.102,N,0.45,SignalP-noTM
g_14016,0.114,32,0.163,11,0.297,1,0.188,0.176,N,0.45,SignalP-noTM
g_14017,0.235,20,0.17,20,0.194,19,0.12,0.143,N,0.45,SignalP-noTM
g_14018,0.275,23,0.209,23,0.214,2,0.159,0.182,N,0.45,SignalP-noTM
g_14019,0.161,29,0.319,29,0.889,4,0.678,0.513,Y,0.45,SignalP-noTM
g_14020,0.129,40,0.117,40,0.127,28,0.104,0.11,N,0.45,SignalP-noTM
g_14021,0.142,22,0.133,22,0.163,2,0.123,0.128,N,0.45,SignalP-noTM
g_14022,0.114,20,0.105,37,0.111,8,0.097,0.101,N,0.45,SignalP-noTM
g_14023,0.115,17,0.107,32,0.136,15,0.104,0.106,N,0.45,SignalP-noTM
g_14024,0.114,46,0.108,46,0.134,23,0.097,0.102,N,0.45,SignalP-noTM
g_14025,0.108,54,0.144,19,0.402,9,0.205,0.177,N,0.45,SignalP-noTM
g_14026,0.113,40,0.106,40,0.13,35,0.098,0.102,N,0.45,SignalP-noTM
g_14027,0.142,33,0.126,33,0.16,47,0.119,0.122,N,0.45,SignalP-noTM
g_14028,0.179,24,0.198,24,0.359,12,0.222,0.211,N,0.45,SignalP-noTM
g_14029,0.109,30,0.126,13,0.185,6,0.142,0.134,N,0.45,SignalP-noTM
g_14030,0.168,49,0.133,49,0.166,12,0.112,0.121,N,0.45,SignalP-noTM
g_14031,0.137,19,0.178,66,0.388,58,0.156,0.169,N,0.5,SignalP-TM
g_14032,0.2,24,0.226,24,0.464,1,0.252,0.236,N,0.5,SignalP-TM
g_14033,0.111,62,0.111,30,0.151,12,0.111,0.111,N,0.45,SignalP-noTM
g_14034,0.12,27,0.112,27,0.129,1,0.106,0.109,N,0.45,SignalP-noTM
g_14035,0.119,31,0.106,18,0.125,4,0.1,0.103,N,0.45,SignalP-noTM
g_14036,0.212,39,0.148,39,0.147,3,0.106,0.126,N,0.45,SignalP-noTM
g_14037,0.11,59,0.114,37,0.13,23,0.11,0.112,N,0.45,SignalP-noTM
g_14038,0.165,44,0.129,44,0.146,41,0.104,0.115,N,0.45,SignalP-noTM
g_14039,0.108,58,0.103,61,0.13,46,0.094,0.099,N,0.45,SignalP-noTM
g_14040,0.11,65,0.11,11,0.125,7,0.118,0.114,N,0.45,SignalP-noTM
g_14041,0.17,20,0.176,20,0.245,29,0.172,0.174,N,0.45,SignalP-noTM
g_14042,0.147,18,0.144,18,0.177,8,0.143,0.144,N,0.45,SignalP-noTM
g_14043,0.21,25,0.211,25,0.401,1,0.225,0.219,N,0.45,SignalP-noTM
g_14044,0.112,65,0.106,65,0.126,44,0.095,0.1,N,0.45,SignalP-noTM
g_14045,0.12,35,0.152,22,0.45,5,0.216,0.187,N,0.45,SignalP-noTM
g_14046,0.146,31,0.128,31,0.191,18,0.114,0.121,N,0.45,SignalP-noTM
g_14047,0.11,14,0.113,44,0.127,28,0.109,0.111,N,0.45,SignalP-noTM
g_14048,0.109,50,0.105,50,0.116,5,0.099,0.102,N,0.45,SignalP-noTM
g_14049,0.141,40,0.117,40,0.141,12,0.099,0.107,N,0.45,SignalP-noTM
g_14050,0.128,21,0.169,11,0.316,3,0.242,0.208,N,0.45,SignalP-noTM
g_14051,0.11,70,0.144,18,0.22,5,0.189,0.168,N,0.45,SignalP-noTM
g_14052,0.112,23,0.107,12,0.112,1,0.105,0.106,N,0.45,SignalP-noTM
g_14053,0.132,16,0.174,11,0.358,4,0.292,0.221,N,0.5,SignalP-TM
g_14054,0.124,63,0.137,11,0.224,1,0.13,0.133,N,0.45,SignalP-noTM
g_14055,0.148,54,0.153,54,0.328,50,0.139,0.146,N,0.45,SignalP-noTM
g_14056,0.121,56,0.121,56,0.159,45,0.11,0.115,N,0.45,SignalP-noTM
g_14057,0.115,41,0.107,56,0.17,36,0.101,0.104,N,0.45,SignalP-noTM
g_14058,0.236,13,0.237,13,0.345,7,0.232,0.235,N,0.45,SignalP-noTM
g_14059,0.126,22,0.129,22,0.167,1,0.13,0.13,N,0.45,SignalP-noTM
g_14060,0.11,33,0.106,33,0.112,30,0.097,0.101,N,0.45,SignalP-noTM
